Meadow,Site,Elevation,Species1,Species2,Schoener
a,4,1002.8,Rosa sp#,ZDensityHymenopteraTOTAL,0.156890671
a,4,1002.8,Veronica sp#,ZDensityHymenopteraTOTAL,0.156890671
i,1,766.3,Odontites luteus,ZDensityHymenopteraTOTAL,0.158216561
i,1,766.3,Veronica chamaedris,ZDensityHymenopteraTOTAL,0.158216561
i,1,766.3,Viola sp#,ZDensityHymenopteraTOTAL,0.158216561
i,2,737.4,Silene vulgaris,ZDensityHymenopteraTOTAL,0.15835566
a,2,984.9,Polygala vulgaris,ZDensityHymenopteraTOTAL,0.16023165
a,2,984.9,Sanguisorba minor,ZDensityHymenopteraTOTAL,0.163587952
i,7,648.5,Chenopodium sp#,ZDensityHymenopteraTOTAL,0.163652024
i,7,648.5,Origanum vulgare,ZDensityHymenopteraTOTAL,0.163652024
i,7,648.5,Pastinaca sativa,ZDensityHymenopteraTOTAL,0.163652024
i,7,648.5,Polygonum aviculare,ZDensityHymenopteraTOTAL,0.163652024
i,7,648.5,Solanum dulgamara,ZDensityHymenopteraTOTAL,0.163652024
i,7,648.5,Trifolium repens,ZDensityHymenopteraTOTAL,0.163652024
a,5,1001,Hippocrepis comosa,ZDensityHymenopteraTOTAL,0.163683981
a,5,1001,Ligustrum vulgare,ZDensityHymenopteraTOTAL,0.163683981
a,5,1001,Polygala comosa,ZDensityHymenopteraTOTAL,0.163683981
i,3,711.5,Asperula cynanchica,ZDensityHymenopteraTOTAL,0.164213145
i,1,766.3,Veronica teucrium,ZDensityHymenopteraTOTAL,0.165095541
n,4,1420,Potentilla sp#,ZDensityHymenopteraTOTAL,0.165207186
a,2,984.9,Buphthalmum salicifolium,ZDensityHymenopteraTOTAL,0.165886884
a,2,984.9,Cirsium acaule,ZDensityHymenopteraTOTAL,0.165886884
a,3,949.8,Teurium montanum,ZDensityHymenopteraTOTAL,0.166051661
i,7,648.5,Galium sp#,ZDensityHymenopteraTOTAL,0.166523112
i,7,648.5,Pulsatilla sp#,ZDensityHymenopteraTOTAL,0.166523112
a,2,984.9,Parnassia palustris,ZDensityHymenopteraTOTAL,0.171003525
a,2,984.9,Clinopodium vulgare,ZDensityHymenopteraTOTAL,0.175940635
a,6,981.9,Carlina vulgaris,ZDensityHymenopteraTOTAL,0.177480916
a,6,981.9,Polygonum aviculare,ZDensityHymenopteraTOTAL,0.177480916
n,4,1420,Cerastium sp#,ZDensityHymenopteraTOTAL,0.180311682
a,3,949.8,Anthericum ramosum,ZDensityHymenopteraTOTAL,0.180811808
n,5,1398.6,Allium carinatum,ZDensityHymenopteraTOTAL,0.180993633
a,4,1002.8,Orchis ustulata,ZDensityHymenopteraTOTAL,0.181342528
i,7,648.5,Clinopodium vulgare,ZDensityHymenopteraTOTAL,0.183259867
a,3,949.8,Sedum sp# yellow,ZDensityHymenopteraTOTAL,0.183447549
a,4,1002.8,Arenaria/Linum ym#,ZDensityHymenopteraTOTAL,0.184176005
